antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_names,consequent_names
"frozenset({'SKU00062', 'SKU00060'})",frozenset({'SKU00086'}),0.034482758620689655,0.43370614981248545,0.03325478742823006,0.9643888354186718,2.223599632690542,1.0,0.018299402951937462,15.902143522833187,0.5699315654405475,0.07645936665394888,0.9371153958858349,0.520532342410897,"['RG Pearl Elaichi MP Pouch 0.14g', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU613', 'SKU00086'})",frozenset({'SKU00060'}),0.015532176164083502,0.438949918688394,0.015133915236799309,0.9743589743589743,2.2197497547565597,1.0,0.008316067772521044,21.880953171152616,0.5581683365951202,0.03444629098051065,0.9542981518136799,0.5044182592950172,"['Center Fresh', 'TZ 00 (with Silver) 0.45g']",['Rajnigandha 4g ']
"frozenset({'SKU080', 'SKU00060'})",frozenset({'SKU00086'}),0.0225681192127709,0.43370614981248545,0.021705220536988482,0.961764705882353,2.2175491546480854,1.0,0.011917288444708435,14.810762235673467,0.5617288738657493,0.04994654040018329,0.9324815303839405,0.5059053097823152,"['Pass Pass Meetha Magic 2.2g (100 pcs)', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00060', 'SKU00033'})",frozenset({'SKU00086'}),0.023364641067339285,0.43370614981248545,0.02246855398094985,0.9616477272727272,2.217279436061719,1.0,0.012335165461883449,14.765587797481826,0.5621308398586312,0.05169912180221459,0.9322749616394856,0.5067268327211508,"['Rajnigandha 4g ', 'Rajnigandha 100g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00086', 'SKU00303'})",frozenset({'SKU00060'}),0.027214496697753145,0.438949918688394,0.026484351664398793,0.973170731707317,2.217042742860515,1.0,0.014538550551774483,20.91186666706893,0.5643060091291311,0.06023550724637681,0.9521802612879722,0.5167532170558361,"['TZ 00 (with Silver) 0.45g', 'RG Pearl Elaichi 1.4g Hanger']",['Rajnigandha 4g ']
"frozenset({'SKUPM4', 'SKU00086'})",frozenset({'SKU00060'}),0.03567754140254223,0.438949918688394,0.03468188908433175,0.972093023255814,2.2145875460245676,1.0,0.019021235186684027,20.104294580332606,0.5687398891828088,0.07883222691611345,0.9502593838344237,0.52555203105933,"['Rajnigandha 17g Zipper 1 Pcs', 'TZ 00 (with Silver) 0.45g']",['Rajnigandha 4g ']
"frozenset({'SKU00060', 'SKU00022'})",frozenset({'SKU00086'}),0.013175799010985364,0.43370614981248545,0.012644784441273108,0.9596977329974811,2.212783317489065,1.0,0.006930359381515492,14.05116615777769,0.5553982847388578,0.02911953531030266,0.9288315297982244,0.4944264606217892,"['Rajnigandha 4g ', 'Pulse Kachha Aam 175 Candy']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00086', 'SKU00062'})",frozenset({'SKU00060'}),0.03425043974644054,0.438949918688394,0.03325478742823006,0.9709302325581396,2.2119385178594664,1.0,0.01822055968648825,19.300122797119283,0.5673394953794944,0.0755884127942064,0.9481868581608581,0.5233450497434581,"['TZ 00 (with Silver) 0.45g', 'RG Pearl Elaichi MP Pouch 0.14g']",['Rajnigandha 4g ']
frozenset({'SKU00060'}),frozenset({'SKU00086'}),0.438949918688394,0.43370614981248545,0.4171783213301915,0.9504007258430365,2.191347128127987,1.0,0.22680304213534458,11.417381802713525,0.9690038746639054,0.9159137277761585,0.9124142454654242,0.956146184776431,['Rajnigandha 4g '],['TZ 00 (with Silver) 0.45g']
frozenset({'SKU00086'}),frozenset({'SKU00060'}),0.43370614981248545,0.438949918688394,0.4171783213301915,0.9618916437098256,2.191347128127987,1.0,0.22680304213534458,14.72249490477928,0.9600310907339458,0.9159137277761585,0.9320767297616539,0.956146184776431,['TZ 00 (with Silver) 0.45g'],['Rajnigandha 4g ']
